iter	MultiClass
323	0.06689240288
324	0.06655776704
325	0.06624403824
326	0.06591786016
327	0.06559774136
328	0.06527401288
329	0.06498015878
330	0.06467212789
331	0.06436492538
332	0.06405694835
333	0.06374464916
334	0.06347111019
335	0.06317621173
336	0.06284598921
337	0.06255208875
338	0.06229979255
339	0.06201020224
340	0.06172486654
341	0.06143673419
342	0.0611626372
343	0.06087867057
344	0.06060874882
345	0.06033444767
346	0.06004619194
347	0.05977265257
348	0.05952479088
349	0.05925271218
350	0.05901992557
351	0.05875350909
352	0.05849078566
353	0.05823717429
354	0.0580665617
355	0.05782546453
356	0.05763851609
357	0.0573839498
358	0.05716543791
359	0.05691692917
360	0.05667756463
361	0.0564631934
362	0.05621799657
363	0.05598317114
364	0.05572909908
365	0.05551401758
366	0.05528341182
367	0.0550688798
368	0.05487389547
369	0.05474498986
370	0.05451138901
371	0.05428228098
372	0.05406774
373	0.0538478224
374	0.05363967362
375	0.05342591309
376	0.05320920122
377	0.0529798594
378	0.05276750238
379	0.05255391367
380	0.05237178269
381	0.05213158031
382	0.05191848715
383	0.05171806291
384	0.05150318165
385	0.05130206069
386	0.05110255347
387	0.05089952619
388	0.05069551143
389	0.0504951889
390	0.05030228738
391	0.05013018166
392	0.04996479944
393	0.0497763273
394	0.04958128341
395	0.04938816907
396	0.04923158558
397	0.0491417625
398	0.04895870774
399	0.04876731723
400	0.04856730784
401	0.04835238097
402	0.04817265105
403	0.04799371977
404	0.04781314084
405	0.04763810073
406	0.0474617376
407	0.04729195282
408	0.04711522771
409	0.04693528873
410	0.04677161443
411	0.04660811407
412	0.04643708062
413	0.04629347313
414	0.04612736375
415	0.04598549154
416	0.04582364773
417	0.04566296294
418	0.04549809905
419	0.04541656082
420	0.04525608893
421	0.04511398247
422	0.04494724384
423	0.04479554268
424	0.04463691963
425	0.04449065071
426	0.04432596563
427	0.04418080687
428	0.04403332563
429	0.0438814835
430	0.04373404788
431	0.04359814087
432	0.04344574282
433	0.04330483651
434	0.04316552465
435	0.04301091855
436	0.04285898288
437	0.04272232219
438	0.04257544092
439	0.04243790486
440	0.04229954253
441	0.0421573181
442	0.04201463454
443	0.04187888659
444	0.04173480893
445	0.04159044429
446	0.04145452744
447	0.04131319329
448	0.0411768074
449	0.04104158714
450	0.04090962582
451	0.04078956211
452	0.0406656681
453	0.04053416849
454	0.04040206998
455	0.04026314376
456	0.04013485291
457	0.04001591209
458	0.03989090233
459	0.03976562868
460	0.03963995749
461	0.03952951197
462	0.0394076564
463	0.03927877259
464	0.03915163314
465	0.03902927788
466	0.03892761612
467	0.03880855943
468	0.03868497943
469	0.03856929627
470	0.03845428775
471	0.03833994201
472	0.0382501038
473	0.03813369591
474	0.03801584953
475	0.03790517287
476	0.03778917786
477	0.03767682567
478	0.03756637304
479	0.03748711737
480	0.03737773541
481	0.03726211629
482	0.03715432712
483	0.03706716264
484	0.0369573024
485	0.03688472212
486	0.0367821592
487	0.03667947068
488	0.03657349065
489	0.03646137051
490	0.03636385941
491	0.03625387777
492	0.03615114888
493	0.03608310819
494	0.03598559869
495	0.03588484629
496	0.03578718993
497	0.03569055465
498	0.03559246641
499	0.03549023045
500	0.03539604717
501	0.03530390739
502	0.03520288038
503	0.03509959524
504	0.03500089916
505	0.03490149667
506	0.03480860121
507	0.03471130419
508	0.03461890069
509	0.0345276179
510	0.03443380148
511	0.03433270846
512	0.03424660795
513	0.03415151589
514	0.03405491608
515	0.03396420858
516	0.0338905241
517	0.03379499142
518	0.03370169147
519	0.03360902964
520	0.03351647268
521	0.03342667171
522	0.03332579135
523	0.03323565185
524	0.03315571134
525	0.0330630074
526	0.03297257446
527	0.03288551439
528	0.03280531108
529	0.03271535509
530	0.03262603858
531	0.03254767144
532	0.03246332868
533	0.03239982865
534	0.03231825571
535	0.03223111192
536	0.03214709579
537	0.03206328584
538	0.03198077207
539	0.03190843596
540	0.03183133005
541	0.03174676809
542	0.03167121797
543	0.03158987136
544	0.03151027405
545	0.03143297373
546	0.03135628038
547	0.03127909114
548	0.0312025708
549	0.03112134451
550	0.03103837944
551	0.0309603868
552	0.03088444272
553	0.03080701891
554	0.03072920594
555	0.03064649677
556	0.03057067258
557	0.0304982975
558	0.03042346339
559	0.03034402885
560	0.03027063085
561	0.0301940994
562	0.03012082626
563	0.03004723956
564	0.02997268771
565	0.02989778044
566	0.02982587666
567	0.02976369757
568	0.0296863407
569	0.02961402137
570	0.02954317977
571	0.02947982764
572	0.02940522502
573	0.02934048546
574	0.02926730243
575	0.02919368892
576	0.02912740394
577	0.02905793107
578	0.02898875118
579	0.02892070373
580	0.02889078599
581	0.02882412639
582	0.0287551397
583	0.0286880127
584	0.02862036652
585	0.0285501382
586	0.02848414454
587	0.02842384086
588	0.0283583256
589	0.02829498875
590	0.0282310928
591	0.02816645303
592	0.0281108037
593	0.02804428087
594	0.027977273
595	0.02791433455
596	0.02785228217
597	0.02779380813
598	0.02773007909
599	0.02766598408
600	0.0275974959
601	0.02753292114
602	0.02747087034
603	0.02742642882
604	0.02739200568
605	0.02732765091
606	0.0272658094
607	0.02720379041
608	0.02713795704
609	0.02708108313
610	0.02702485991
611	0.02696178417
612	0.02690116435
613	0.02684047686
614	0.02677989797
615	0.02672218965
616	0.02666400278
617	0.02660444049
618	0.02654441745
619	0.02648596569
620	0.02643059759
621	0.02637124426
622	0.02631337719
623	0.02625466322
624	0.02619647371
625	0.0261432328
626	0.02608386704
627	0.02602834894
628	0.02597212193
629	0.02591850283
630	0.02586415338
631	0.02581056257
632	0.02575495125
633	0.02569685095
634	0.02564807439
635	0.02559749299
636	0.02554396514
637	0.02548871535
638	0.02543273099
639	0.02538908821
640	0.02533515079
641	0.02529063982
642	0.02524134877
643	0.02518827405
644	0.02513535015
645	0.02508034959
646	0.02502863957
647	0.02497696862
648	0.02492864731
649	0.02487493805
650	0.02482446684
651	0.02477341606
652	0.02472275481
653	0.02467141414
654	0.02462782868
655	0.02457911514
656	0.02452994641
657	0.02447742843
658	0.02442873764
659	0.02438128232
660	0.02433343625
661	0.02428831354
662	0.02423398828
663	0.02418612859
664	0.02413687893
665	0.02408818758
666	0.02403865745
667	0.02398832577
668	0.02393678773
669	0.02389010871
670	0.02384227319
671	0.0237960971
672	0.02375588427
673	0.02370597165
674	0.02366496688
675	0.02361896226
676	0.02357028831
677	0.02352651474
678	0.023481972
679	0.02343809558
680	0.02339118623
681	0.02334909682
682	0.02330361032
683	0.02325988806
684	0.02321536348
685	0.0231718395
686	0.02312473279
687	0.02308355832
688	0.02303779224
689	0.02299164378
690	0.02295615649
691	0.02291658949
692	0.02287403064
693	0.0228432594
694	0.0228013956
695	0.02275835797
696	0.02271511634
697	0.02267197626
698	0.02262802255
699	0.02258394984
700	0.02254159188
701	0.0224999089
702	0.02245774952
703	0.02241792448
704	0.02237523771
705	0.02233185372
706	0.02230597302
707	0.02226695958
708	0.022226433
709	0.02218618083
710	0.02214350512
711	0.02210525594
712	0.02206401743
713	0.02202287374
714	0.02198211604
715	0.02194257522
716	0.02190041774
717	0.02185794412
718	0.02181747225
719	0.02177555442
720	0.0217406119
721	0.02170167324
722	0.021674086
723	0.0216354975
724	0.02159635373
725	0.02155146985
726	0.02151456338
727	0.02147589549
728	0.02143561629
729	0.02139734699
730	0.02136282027
731	0.02132413984
732	0.02128749944
733	0.0212515535
734	0.02121449617
735	0.02117797439
736	0.02113963818
737	0.02111033177
738	0.02107134886
739	0.02103310302
740	0.02099780967
741	0.02095520864
742	0.02091693974
743	0.02087794126
744	0.02084123613
745	0.02080500781
746	0.02076961295
747	0.02073078039
748	0.02069407562
749	0.02065843611
750	0.02062480635
751	0.02058729184
752	0.02055255873
753	0.02051815087
754	0.02048337405
755	0.02044764331
756	0.02041271635
757	0.020378522
758	0.02034311963
759	0.02030956393
760	0.02027586198
761	0.02024462539
762	0.02021108592
763	0.02017600204
764	0.02013989361
765	0.02010655402
766	0.02007708769
767	0.02004033429
768	0.02000613422
769	0.01997669561
770	0.01994379072
771	0.01990964683
772	0.01987547159
773	0.01984449395
774	0.0198108198
775	0.01977774241
776	0.01974901697
777	0.01971994511
778	0.01969246686
779	0.01965511452
780	0.01962310165
781	0.01959069572
782	0.01955934501
783	0.01952666401
784	0.0194940757
785	0.01946093002
786	0.01942915238
787	0.01940316412
788	0.01937127297
789	0.0193387657
790	0.01931143184
791	0.01928075695
792	0.01925254577
793	0.01922331396
794	0.01920048271
795	0.01917085341
796	0.01914125755
797	0.0191125172
798	0.01910097399
799	0.01906639034
800	0.01903594267
801	0.01900945811
802	0.01898133843
803	0.01895158906
804	0.01892056861
805	0.01889252992
806	0.01886211186
807	0.0188311742
808	0.01880205058
809	0.01877196266
810	0.0187447141
811	0.01871600893
812	0.01868520454
813	0.01865592686
814	0.01862790866
815	0.01860055289
816	0.0185722927
817	0.01854367635
818	0.01851709859
819	0.0184871413
820	0.0184584373
821	0.01843419527
822	0.01840499297
823	0.01837725589
824	0.01834984298
825	0.0183221921
826	0.01829846636
827	0.01826979596
828	0.01824941117
829	0.01822177766
830	0.01819328172
831	0.01816461757
832	0.01813623036
833	0.01810898871
834	0.01808532952
835	0.01805863657
836	0.01803065048
837	0.01800226112
838	0.01797729707
839	0.0179493337
840	0.01792236024
841	0.01789317762
842	0.01786612464
843	0.0178381234
844	0.01781033992
845	0.01778197477
846	0.01775555916
847	0.01772878854
848	0.01770149692
849	0.01767439393
850	0.01764751101
851	0.01762062416
852	0.01759358386
853	0.01756780274
854	0.01754039539
855	0.0175148101
856	0.01748959332
857	0.01746234452
858	0.01743680695
859	0.01741455308
860	0.01738906708
861	0.01736373752
862	0.01733758144
863	0.01731203877
864	0.01728894375
865	0.01726244002
866	0.01723780748
867	0.01721304962
868	0.01718743883
869	0.01716271682
870	0.01713925504
871	0.01711532332
872	0.01708888133
873	0.0170646457
874	0.01704111313
875	0.01701643875
876	0.01699241583
877	0.01697073262
878	0.0169525275
879	0.01692826776
880	0.0169035263
881	0.01688111223
882	0.01685639172
883	0.01684484094
884	0.01682014067
885	0.01679613491
886	0.01677416631
887	0.01674955728
888	0.01672522805
889	0.01670169177
890	0.01667722047
891	0.016653015
892	0.01662747139
893	0.01660410057
894	0.01658057573
895	0.01655791141
896	0.01653356793
897	0.01651203627
898	0.01648932302
899	0.01646654975
900	0.01643869264
901	0.01641386265
902	0.01639023944
903	0.01636794695
904	0.01634563472
905	0.01632235257
906	0.0162982716
907	0.01627663445
908	0.01625321481
909	0.01623019685
910	0.01620868112
911	0.01618518803
912	0.01616348261
913	0.01614203975
914	0.01611976786
915	0.01609795572
916	0.01607676939
917	0.01605344184
918	0.01603117114
919	0.01600858815
920	0.01598620009
921	0.01596445776
922	0.01594382296
923	0.01592092136
924	0.01589864855
925	0.01587638176
926	0.01585503755
927	0.01583450415
928	0.01581545685
929	0.01579327116
930	0.01577283342
931	0.01575110285
932	0.01572958842
933	0.0157103572
934	0.01568825417
935	0.01566763762
936	0.01564589447
937	0.01563033101
938	0.01560722051
939	0.01558658014
940	0.01556699908
941	0.01554662151
942	0.01552663709
943	0.01550584649
944	0.01548564063
945	0.01546477135
946	0.0154438427
947	0.01542355391
948	0.01540209731
949	0.01538101607
950	0.01536258056
951	0.01534101509
952	0.01531967284
953	0.01529601725
954	0.01527667732
955	0.01525600519
956	0.01523647355
957	0.01521642777
958	0.01519554681
959	0.01517515179
960	0.01515578248
961	0.0151367146
962	0.01511801821
963	0.01509949984
964	0.01507928625
965	0.01505922555
966	0.01504012399
967	0.01502073815
968	0.01500236805
969	0.01498258806
970	0.01496230598
971	0.01494372592
972	0.0149257407
973	0.01491098956
974	0.01489126923
975	0.01487204995
976	0.01485753115
977	0.01484506221
978	0.01482508201
979	0.01480631203
980	0.01479055671
981	0.01477079025
982	0.0147527146
983	0.01473368151
984	0.01471706049
985	0.01469932943
986	0.01468403657
987	0.01466502527
988	0.0146463437
989	0.01462906436
990	0.01461238498
991	0.01459659358
992	0.01458286011
993	0.01456697371
994	0.01455178381
995	0.01453383892
996	0.0145181438
997	0.01449967147
998	0.01448206193
999	0.01446449848
